mpg,cylinders,displacement,horsepower,weight_lbs,acceleration_0_60,model year,origin_numeric,torque_lbft,top_speed_mph,0-60_time_sec_predicted,quarter_mile_time,car_name,car_full_name,origin_text,alternate_hp,alternate_weight,alternate_year
13,8,360,175,3821,11,73,1,285,106,10.2,,amc ambassador brougham,1973 AMC Ambassador Brougham Sedan V-8 360 Torque-Command automatic (aut. 3),America,,,
15,8,390,190,3850,8.5,70,1,305,108,10.5,,amc ambassador dpl,,America,,,
17,8,304,150,3672,11.5,72,1,245,103,11.5,,amc ambassador sst,,America,,,
19.4,6,232,90,3210,17.2,78,1,168,101,14.5,,amc concord,,America,,,
24.3,4,151,90,3003,20.1,80,1,168,98,16.7,,amc concord,1978 AMC Concord 4-Door Sedan 232 automatic (aut. 3),America,,,
18.1,6,258,120,3410,15.1,78,1,,,,,amc concord d/l,,America,,,
20.2,6,232,90,3265,18.2,79,1,,,,,amc concord dl 6,,America,,,
19,6,232,100,2634,13,71,1,,,,,amc gremlin,,America,,,
18,6,232,100,2789,15,73,1,,,,,amc gremlin,,America,,,
20,6,232,100,2914,16,75,1,,,,,amc gremlin,,America,,,
21,6,199,90,2648,15,70,1,182,95,15.8,,amc gremlin,1970 AMC Gremlin 199 Shift-Command automatic (aut. 3) ,America,,,
18,6,232,100,2945,16,73,1,,,,,amc hornet,,America,,,
19,6,232,100,2901,16,74,1,,,,,amc hornet,,America,,,
18,6,199,97,2774,15.5,70,1,182,101,11.6,,amc hornet,,America,,,
22.5,6,232,90,3085,17.6,76,1,,,,,amc hornet,,America,,,
18,6,258,110,2962,13.5,71,1,,,,,amc hornet sportabout (sw),,America,,,
14,8,304,150,3672,11.5,73,1,,,,,amc matador,,America,,,
15.5,8,304,120,3962,13.9,76,1,,,,,amc matador,,America,,,
16,6,258,110,3632,18,74,1,,,,,amc matador,,America,,,
15,6,258,110,3730,19,75,1,,,,,amc matador,,America,,,
18,6,232,100,3288,15.5,71,1,210,96,13.5,,amc matador,,America,135,,
15,8,304,150,3892,12.5,72,1,,,,,amc matador (sw),,America,,,
14,8,304,150,4257,15.5,74,1,,,,,amc matador (sw),,America,,,
19,6,232,90,3211,17,75,1,185,101,14.2,,amc pacer,1975 AMC Pacer X 232 automatic (aut. 3),America,100,,
17.5,6,258,95,3193,17.8,76,1,,,,,amc pacer d/l,,America,,,
16,8,304,150,3433,12,70,1,,,,,amc rebel sst,,America,,,
NA,8,360,175,3850,11,70,1,,,,,amc rebel sst (sw),,America,,,
